Name,Address,City,Zipcode,Average Review Score,Total Review Count,Latitude,Longitude
Address Opera Residences Burj Khalifa View,"Dubai, ARE",Dubai,None,9.8,5,25.19702,55.271591
"3BR, Burj Khalifa,Fountain48","Dubai, ARE",Dubai,None,9.8,5,25.191814,55.280139
Luxury 1 bedroom with beautiful marina view!,"Dubai, ARE",Dubai,None,9.8,5,25.078502,55.136233
"Cozy Studio in West Bay Central Tower, Dubai Marina","Dubai, ARE",Dubai,None,9.8,5,25.078666,55.137549
STAY BY LATINEM Luxury 1BR Holiday Home CV B304 near Burj Khalifa,"Dubai, ARE",Dubai,None,9.8,5,25.179339,55.305407
1 BR Luxury Apt by AJ Aljada,"Sharjah, ARE",Sharjah,None,9.8,5,25.312904,55.474922
EasyGo - Al Multaqa Mirdif Hills Studio,"Dubai, ARE",Dubai,None,9.8,5,25.222666,55.441085
AT THE TOP,"Dubai, ARE",Dubai,None,7.9,22,25.081322,55.138361
"Rare Holiday Homes offers Green Lakes Tower S3, R508 in Jumeirah Lake Towers Close to Dubai Marina & Ain Dubai","Dubai, ARE",Dubai,None,9.8,5,25.078937,55.148534
Tamm - Noor 2 Tower,"Dubai, ARE",Dubai,None,9.8,5,25.0258,55.182691
Frank Porter - Torch Tower,"Dubai, ARE",Dubai,None,7.9,21,25.087942,55.147499
"RH- Downtown Oasis, Spacious 01 BR in Downtown near Dubai Mall","Dubai, ARE",Dubai,None,7.5,68,25.195969,55.281274
Ultimate Stay / Full Marina Views / High Floor / Perfect Vacation / Infinity Pool / 6 People,"Dubai, ARE",Dubai,None,7.9,21,25.081736,55.141334
La Villa Najd Hotel Apartments,"Dubai, ARE",Dubai,None,7.4,162,25.114576,55.202312
Diamond Plaza - 1BR Apartment in Dubai Marina,"Dubai, ARE",Dubai,None,7.6,43,25.069454,55.134812
Ultimate Stay / Modern Studio / Swimming Pool View,"Dubai, ARE",Dubai,None,8.7,9,25.058866,55.199561
Enticing space With Marina View Near the Beach!,"Dubai, ARE",Dubai,None,7.8,26,25.079966,55.139082
Luxury apartment on the metro facing Dubai Marina,"Dubai, ARE",Dubai,None,8.7,9,25.070119,55.140373
Walk To The Beach - Sparkle Towers With Marina Views,"Dubai, ARE",Dubai,None,8.2,14,25.081393,55.139679
Tamm - Mesk 1 Tower,"Dubai, ARE",Dubai,None,8.1,16,25.025067,55.183472
"Premium Downtown apartment 2BD, 5 MIN DUBAI MALL","Dubai, ARE",Dubai,None,8.7,9,25.188835,55.282074
Business Bay - Reva Residence - Keyrock HH,"Dubai, ARE",Dubai,None,7.7,34,25.18781,55.283332
Silkhaus spacious central Downtown 1BDR in new tower,"Dubai, ARE",Dubai,None,8.7,9,25.187035,55.275776
Panoramic Luxe 1BR with Breathtaking Views at Dubai Marina Near JBR - Silverene Towers,"Dubai, ARE",Dubai,None,8.2,14,25.075551,55.138626
Silkhaus new 1BDR with Private beach,"Dubai, ARE",Dubai,None,8.7,9,25.098815,55.139921
Crystal Clear 1BR Apt in Blue Waters by Rich Stay,"Dubai, ARE",Dubai,None,8.7,9,25.077347,55.122471
Dream Inn Apartments - Al Sahab,"Dubai, ARE",Dubai,None,7.5,70,25.075981,55.135743
"Cozy High Floor, Std With Burj Khalifa View","Dubai, ARE",Dubai,None,8.4,11,25.185388,55.275952
"FIVE Palm Beach Villa - Three Floors, Private Pool, Jacuzzi","Dubai, ARE",Dubai,None,8.4,11,25.104115,55.14847
Silkhaus perfect 1BDR near Dubai Mall in Downtown,"Dubai, ARE",Dubai,None,8.1,15,25.192853,55.278965
Ruby Star Hostel Dubai G P-34567,"Dubai, ARE",Dubai,None,7.5,64,25.272043,55.328925
J5 Four Bedroom Villa Holiday home in Mirdif,"Dubai, ARE",Dubai,None,7.5,63,25.232048,55.419369
Frank Porter - Time Place Tower,"Dubai, ARE",Dubai,None,7.8,25,25.080526,55.144295
Royal Manor - Dream Tower,"Dubai, ARE",Dubai,None,7.8,24,25.068158,55.132413
LUX Marina Promenade 1 BR Prime location Apt,"Dubai, ARE",Dubai,None,8.1,15,25.074127,55.132516
Live spacious 3BR apartment all En Suite & Balcony,"Dubai, ARE",Dubai,None,7.8,25,25.039803,55.204889
STAY BY LATINEM Luxury 1BR Holiday Home CVR A3002 near Burj Khalifa,"Dubai, ARE",Dubai,None,8.4,11,25.179447,55.304534
skynest holiday homes princess tower 68th floor 1 bedroom apartment,"Dubai, ARE",Dubai,None,7.7,31,25.088654,55.14686
Frank Porter - Botanica Tower,"Dubai, ARE",Dubai,None,7.9,20,25.085043,55.14246
Sea Castle JBR,"Dubai, ARE",Dubai,None,8.1,15,25.076633,55.13266
Furnished apartment with Burj Khalifa View,"Dubai, ARE",Dubai,None,7.6,43,25.176445,55.271913
Jewellery Homes in Amwaj 4 with direct beach access,"Dubai, ARE",Dubai,None,7.8,24,25.073608,55.131394
Luxury Meets Comfort Apt With Panoramic City View,"Dubai, ARE",Dubai,None,8.1,15,25.194786,55.284345
MD Hotel By Gewan,"Dubai, ARE",Dubai,None,7.3,3106,25.113592,55.191447
STAY BY LATINEM Luxury 1BR Holiday Home W2805 near Burj Khalifa,"Dubai, ARE",Dubai,None,8.8,8,25.175439,55.309197
Great Family apartment near the JBR beach,"Dubai, ARE",Dubai,None,9.3,6,25.078346,55.135847
Spacious 1 Bedroom Apartment in JLT,"Dubai, ARE",Dubai,None,8.8,8,25.070233,55.141064
Number One Tower Suites,"Dubai, ARE",Dubai,None,7.3,1650,25.210557,55.273689
"Bay Central- Marina Dubai, One bed room Apartment","Dubai, ARE",Dubai,None,9.3,6,25.078611,55.137778
Maison Privee - Deluxe 3BR Apt with Dubai Marina Vws & Beach Access,"Dubai, ARE",Dubai,None,8.5,10,25.096754,55.139453
HiGuests - Superlative apt with private beach access,"Dubai, ARE",Dubai,None,8.8,8,25.098128,55.139763
Perfect Apartments at Binghatti Canal Business Bay,"Dubai, ARE",Dubai,None,8.8,8,25.185433,55.285725
Budget Studio Apt near Metro Stn - IRN,"Dubai, ARE",Dubai,None,9.3,6,25.032516,55.151751
Brand new 1 bedroom apartment Dubai Hills 601,"Dubai, ARE",Dubai,None,8.8,8,25.108705,55.243401
La vie en rose,"Dubai, ARE",Dubai,None,9.3,6,25.076944,55.134135
Need to relax come here,"Dubai, ARE",Dubai,None,8.3,12,25.088213,55.147573
"Sparkle Tower - Studio, Dubai Marina","Dubai, ARE",Dubai,None,8.8,8,25.071791,55.131836
Veluxa - Designer 1 Bedroom with Sea View!,"Dubai, ARE",Dubai,None,8.3,12,25.085739,55.143014
Collective T2,"Dubai, ARE",Dubai,None,8.8,8,25.09961,55.244269
Cosmos Living Stylish Studio Near Marina,"Dubai, ARE",Dubai,None,8.8,8,25.068958,55.139411
"Ocean Heights, Dubai Marina - Mint Stay","Dubai, ARE",Dubai,None,8.5,10,25.090659,55.148645
Burj Khalifa Views / 5 min walk from Dubai Mall / Dubai Opera / Upgraded / Designer Choice / 8 people / The Best Location,"Dubai, ARE",Dubai,None,9,7,25.196408,55.271254
Grand Bellevue Hotel Apartment Dubai,"Dubai, ARE",Dubai,None,7.3,1120,25.094567,55.175759
Dream Inn Apartments - Bellevue Tower with Burj Khalifa view,"Dubai, ARE",Dubai,None,9,7,25.187095,55.275812
SKY PARK HOTEL,"Dubai, ARE",Dubai,None,7.6,38,25.271395,55.310183
Tranquil Heights: A 2BR Escape in the Heart of Blvd Crescent Tower,"Dubai, ARE",Dubai,None,9.3,6,25.19161,55.27046
JBR Luxury Penthouse with private pool,"Dubai, ARE",Dubai,None,9.3,6,25.080631,55.136908
Family Apartment with Burj Views from Top Floor 172BC-3,"Dubai, ARE",Dubai,None,9.3,6,25.194041,55.269457
One Bedroom Suite is about five minutes' walk from Dubai Mall - Downtown by Ezytrac Vacation Homes,"Dubai, ARE",Dubai,None,9.3,6,25.19168,55.280175
Wonderful Apartments in Icon Bay,"Dubai, ARE",Dubai,None,9.3,6,25.204107,55.345755
DAMAC MAISON PRIVE - Deluxe STUDIO WITH CANAL WATER VIEW,"Dubai, ARE",Dubai,None,7.7,29,25.184303,55.275512
Granada Apartments Marina Diamond 5,"Dubai, ARE",Dubai,None,9.3,6,25.081095,55.146173
Raviz Center Point Hotel,"Dubai, ARE",Dubai,None,7.3,1438,25.255719,55.301718
EasyGo - 17 Icon Bay1 2Bedroom Burj Khalifa View,"Dubai, ARE",Dubai,None,9.3,6,25.203981,55.345733
Your Cosy Marina Retreat,"Dubai, ARE",Dubai,None,9.3,6,25.078611,55.137778
Home from Home - 2BR Apt - Close to Burj Khalifa,"Dubai, ARE",Dubai,None,9.3,6,25.193258,55.270513
1bdr in Belgravia Heights - JVC - Dubai,"Dubai, ARE",Dubai,None,9.3,6,25.053812,55.220251
Emirates Stars Hotel Apartments Sharjah,"Sharjah, ARE",Sharjah,None,7.3,1158,25.33216,55.361616
Sophisticated 1BD w incredible Burj Khalifa views,"Dubai, ARE",Dubai,None,8.2,13,25.192212,55.272586
[NEAR METRO]Cozy & Comfy 1BR Apartment In JLT,"Dubai, ARE",Dubai,None,8.2,13,25.065798,55.13746
Amazing Paramount Hotel apartment D48,"Dubai, ARE",Dubai,None,8.2,13,25.185898,55.291705
Elite Royal Apartment Full Burj Khalifa & Fountain View - Czar,"Dubai, ARE",Dubai,None,9,7,25.194295,55.272552
GuestReady - Glamorous interiors with Marina views,"Dubai, ARE",Dubai,None,9,7,25.082093,55.142369
GuestReady - Contemporary Apartment in Downtown,"Dubai, ARE",Dubai,None,9,7,25.192367,55.272533
New 2 bedroom in Meydan - Green Area,"Dubai, ARE",Dubai,None,9,7,25.179532,55.304905
"Amwaj Suites , 2 BR - JBR Walk, Direct Beach Access","Dubai, ARE",Dubai,None,9,7,25.077317,55.133586
Cheerful 3 bedroom apartment,"Dubai, ARE",Dubai,None,8.2,13,25.211263,55.276103
Lavishly Elegant 2BR with Breathtaking Full Burj Khalifa View,"Dubai, ARE",Dubai,None,9,7,25.19168,55.280175
DXB Backpackers,"Dubai, ARE",Dubai,None,7.3,732,25.081219,55.135975
1 bedroom Apartment with Dubai Marina & Seaview,"Dubai, ARE",Dubai,None,9,7,25.088697,55.148189
Elan Suites 5-Bedroom Beach Villa,"Dubai, ARE",Dubai,None,8.2,13,25.081296,55.138439
GuestReady - Sweet Sunshine in Downtown,"Dubai, ARE",Dubai,None,8.2,13,25.192784,55.280206
Marina & Downtown Views in Modern Studio - JVC,"Dubai, ARE",Dubai,None,9,7,25.056364,55.203939
Awesome Marina Canal View 1BD Bay Central Marina,"Dubai, ARE",Dubai,None,9,7,25.0786,55.137442
Dream Inn Apartments - Burj Residences Burj Khalifa View,"Dubai, ARE",Dubai,None,7.3,398,25.191987,55.274064
Emaar Fashion Avenue one bedroom - Formerly Address Dubai Mall Four Apple Holiday Homes,"Dubai, ARE",Dubai,None,7.7,28,25.199784,55.27746
Amazing apartment with infinity pool,"Dubai, ARE",Dubai,None,8.6,9,25.11113,55.13849
Your Dubai Skyline Retreat,"Dubai, ARE",Dubai,None,8.6,9,25.08878,55.146895
"High Floor Elegance,prime Location-close To Tram","Dubai, ARE",Dubai,None,8.6,9,25.089267,55.147757
"Burj Khalifa View Downtown, Elite 1 Downtown Residence","Dubai, ARE",Dubai,None,8.6,9,25.187352,55.279828
Dream Inn Apartments- Boulevard Heights,"Dubai, ARE",Dubai,None,7.6,37,25.192666,55.269823
"Soothing 1BR at Downtown Dubai, Business Bay","Dubai, ARE",Dubai,None,8.6,9,25.187235,55.282828
Infinity homes,"Dubai, ARE",Dubai,None,8.6,9,25.185145,55.275582
Sleek & Modern Studio in Business Bay 1,"Dubai, ARE",Dubai,None,7.9,19,25.18431,55.275516
CitiHome-3BR Marina with beach view,"Dubai, ARE",Dubai,None,8.6,9,25.0978,55.139685
Frank Porter - Binghatti Avenue,"Dubai, ARE",Dubai,None,8.6,9,25.211939,55.316398
Luxurious studio Hotel Amenities,"Dubai, ARE",Dubai,None,8.6,9,25.188329,55.284272
Casa Vera Vacations,"Dubai, ARE",Dubai,None,7.4,96,25.071743,55.137258
Sea View Hotel Dubai,"Dubai, ARE",Dubai,None,7.3,392,25.255421,55.284776
Ultimate Stay / 2 Beds / Marina Views / Best Location in the Heart of Marina / Perfect Vacation,"Dubai, ARE",Dubai,None,8.2,13,25.078664,55.137533
Samaya Hotel Deira,"Dubai, ARE",Dubai,None,7.3,435,25.260518,55.318697
LUX - The Ultimate Lake View Residence,"Dubai, ARE",Dubai,None,8.1,14,25.077196,55.147362
Prime Retreats - Downtown Dubai,"Dubai, ARE",Dubai,None,7.6,35,25.190756,55.271455
Dream Inn Apartments - Tiara,"Dubai, ARE",Dubai,None,7.4,84,25.116059,55.141761
Haidy_hostel,"Dubai, ARE",Dubai,None,7.4,79,25.078191,55.134633
ALiving Supreme 2BR Paramount Towers Business Bay 6206,"Dubai, ARE",Dubai,None,8.1,14,25.186137,55.291745
SARJAK'S HOSTEL MANKHOOL,"Dubai, ARE",Dubai,None,7.4,72,25.254153,55.297958
Downtown Luxury - Burj Khalifa View - 5-star Hotel Facilities- 5 min walk to Dubai Mall,"Dubai, ARE",Dubai,None,7.7,26,25.195239,55.2836
Burj Khalifa view - Modern 1BDR apartment,"Dubai, ARE",Dubai,None,8.1,14,25.197532,55.270466
Silkhaus work from home friendly 1BDR in Downtown,"Dubai, ARE",Dubai,None,8.1,14,25.196588,55.270911
Cozy one bedroom apartment with Burj-Khalifa view,"Dubai, ARE",Dubai,None,7.9,18,25.185224,55.261073
Dream Inn Apartments - Standpoint Tower,"Dubai, ARE",Dubai,None,7.6,35,25.196998,55.271123
Ultimate Stay / 2 Beds / Address JBR / Direct Beach Access / Marina View / High Floor,"Dubai, ARE",Dubai,None,8.1,14,25.072575,55.12669
Five Palm Residences,"Dubai, ARE",Dubai,None,7.7,27,25.10433,55.148769
"Address JBR Sea View, Jumeirah Beach Residence, Dubai Marina - Mint Stay","Dubai, ARE",Dubai,None,7.5,45,25.072455,55.126646
Diamond Studio - Special Offer by Suiteable,"Dubai, ARE",Dubai,None,8.1,14,25.079313,55.144286
Ultimate Stay Avani next to Palm Jumeirah,"Dubai, ARE",Dubai,None,8,16,25.098643,55.156911
Two Continents Holiday Homes - Elegant Pearl of Marina,"Dubai, ARE",Dubai,None,7.9,18,25.088697,55.148189
Frank Porter - Carson Tower C,"Dubai, ARE",Dubai,None,9.6,5,25.025413,55.24446
Spacious 1 bedroom Burj Khalifa view,"Dubai, ARE",Dubai,None,9.6,5,25.179484,55.304437
Elite Forte Residences,"Dubai, ARE",Dubai,None,9.6,5,25.195577,55.269467
Wonderful 1BR in a luxury home!,"Dubai, ARE",Dubai,None,9.6,5,25.067122,55.139722
"Lovely Dubai Eye & Sea View, 3 mints to beach","Dubai, ARE",Dubai,None,9.6,5,25.08447,55.141598
Maison Privee - Modern Luxury Apt with Spectacular Dubai Marina Vws,"Dubai, ARE",Dubai,None,9.6,5,25.086782,55.147799
Burj Roayle-Magical Burj & Fountain Sky Views 3+1 BR APT,"Dubai, ARE",Dubai,None,9.6,5,25.191586,55.28017
VIEVV Property Rentals,"Dubai, ARE",Dubai,None,9.6,5,25.237813,55.254937
One Bedroom Apartment- IMPZ,"Dubai, ARE",Dubai,None,9.6,5,25.035822,55.201157
STAY BY LATINEM Luxury 1BR Holiday Home CVR B3102 near Burj Khalifa,"Dubai, ARE",Dubai,None,9.6,5,25.17952,55.304503
HiGuests - Stylish Apt With Stunning Beach Views and Pools,"Dubai, ARE",Dubai,None,9.6,5,25.240377,55.252434
Luxury 3BR Private Villa and Elaborate Gardens,"Dubai, ARE",Dubai,None,9.6,5,25.04559,55.158668
smilehomesdxb,"Dubai, ARE",Dubai,None,9.6,5,25.071343,55.136953
Heaven Crest Holiday Homes - Luxury Forte,"Dubai, ARE",Dubai,None,9.6,5,25.195763,55.269485
Oceana Atlantic Seaside Apt,"Dubai, ARE",Dubai,None,9.6,5,25.111488,55.136888
Rayyan Stays,"Dubai, ARE",Dubai,None,9.6,5,25.22346,55.42474
Silkhaus Family Heaven By Beach with Crib Available,"Dubai, ARE",Dubai,None,9.6,5,25.116252,55.13977
Luxury 1 bedroom in Palm Dubai. Beach access,"Dubai, ARE",Dubai,None,9.2,6,25.111527,55.138315
KeyHost - Elegant 2BR Sea View - 52 42 Towers Marina - K830,"Dubai, ARE",Dubai,None,8.3,11,25.071344,55.124966
Ultimate Stay / Fairmont Residences the Palm / Designer Luxury / Direct Beach Access / Big Terrace / Partial Sea View,"Dubai, ARE",Dubai,None,9.2,6,25.109173,55.142484
Cute Dubai Marina Studio in Skyview Tower,"Dubai, ARE",Dubai,None,8.3,11,25.084112,55.142369
Modern 1BR Getaway with Burj Khalifa View - LOF,"Dubai, ARE",Dubai,None,9.2,6,25.196733,55.269937
Spacious 2 Bed Apt at Marina,"Dubai, ARE",Dubai,None,9.2,6,25.081098,55.146363
Fabulous 4br villa with Balcony,"Dubai, ARE",Dubai,None,9.2,6,25.121973,55.342902
Shared Room in Dubai - D Bunkers Camp,"Dubai, ARE",Dubai,None,9.2,6,25.239624,55.284417
Luxe - Urban 1 Bed with Sofa Bed in Sports City,"Dubai, ARE",Dubai,None,9.2,6,25.035812,55.223312
"Spacious 1BR Botanica Towers, Dubai Marina","Dubai, ARE",Dubai,None,7.6,32,25.085043,55.14246
Elite 6 Sports Residence by Golden Casa,"Dubai, ARE",Dubai,None,9.2,6,25.041586,55.21755
STAY BY LATINEM Luxury 2BR Holiday Home CVR A208 near Burj Khalifa,"Dubai, ARE",Dubai,None,7.7,25,25.179447,55.304614
Deluxe Studio Business Bay - Canal View - Gym & Pool,"Dubai, ARE",Dubai,None,9.2,6,25.180317,55.26871
New 2 bedroom in Meydan - Burj Khalifa View,"Dubai, ARE",Dubai,None,9.2,6,25.179298,55.305228
Urban tropic 3 bedroom apartment with full sea view by Suiteable Interiors,"Dubai, ARE",Dubai,None,9.2,6,25.07012,55.132398
Spectacular Views of Dubai Skyline,"Dubai, ARE",Dubai,None,9.2,6,25.055928,55.203576
GuestReady - Luxurious accents near Burj Khalifa,"Dubai, ARE",Dubai,None,9.6,5,25.193631,55.285409
Downtown Ultra Luxury 1BR - 15 Northside - Burj Khalifa View,"Dubai, ARE",Dubai,None,8.4,10,25.18667,55.286502
Dream Inn Apartments - Burj Views,"Dubai, ARE",Dubai,None,7.3,163,25.190678,55.281617
Modern Lush Getaway in Dubai Marina,"Dubai, ARE",Dubai,None,8.9,7,25.076453,55.136507
Sea View with Private Beach Access! 3BR & Maid Rm,"Dubai, ARE",Dubai,None,8.2,12,25.101436,55.142306
Jbr beach walk 2 bedrooms front sea,"Dubai, ARE",Dubai,None,8.9,7,25.075868,55.13209
Ultimate Stay / 3 beds / Next to Opera with Fountain Views / Luxury Experience,"Dubai, ARE",Dubai,None,8.2,12,25.196282,55.270787
Spacious 2BR Apt 1517 Sqft in Dubai Marina Both bedroom Ensuite Walking to Metro Restaurants Beach Mall Marina walk,"Dubai, ARE",Dubai,None,8.2,12,25.067738,55.131052
Restful apartment with private terrace by the pool,"Dubai, ARE",Dubai,None,8.3,11,25.064882,55.207656
Frank Porter - Marquise Square,"Dubai, ARE",Dubai,None,8.9,7,25.185064,55.275877
Excelsior VIII - MAG 318,"Dubai, ARE",Dubai,None,8.4,10,25.190719,55.283266
Silkhaus your 1BDR home away from home in Downtown,"Dubai, ARE",Dubai,None,8.9,7,25.196588,55.270911
Delightful One-Bedroom in DownTown Dubai,"Dubai, ARE",Dubai,None,8.9,7,25.193894,55.27123
Private room in the heart of Dubai with Burj Khalifa view,"Dubai, ARE",Dubai,None,8.3,11,25.168419,55.26056
Nasma Luxury Stays - Limestone House,"Dubai, ARE",Dubai,None,8.3,11,25.212008,55.278826
The beach hostel Dubai,"Dubai, ARE",Dubai,None,7.4,68,25.080558,55.138292
Mira Holiday Homes - Newly furnished studio in Downtown,"Dubai, ARE",Dubai,None,8.2,12,25.186345,55.278236
Vogue - The Greens and Views,"Dubai, ARE",Dubai,None,8.9,7,25.094884,55.169889
LUXFolio Retreats Glamorous Interior Marina,"Dubai, ARE",Dubai,None,8.1,13,25.076772,55.136689
Dubai Eye,"Dubai, ARE",Dubai,None,7.3,115,25.081288,55.13844
bnbmehomes - Studio in The Palm Near Nakheel Mall w Sea View - 205,"Dubai, ARE",Dubai,None,7.7,24,25.115394,55.135258
"Modern and new studio in Murjan, JBR","Dubai, ARE",Dubai,None,8,15,25.081802,55.139052
HiGuests - Spacious Studio With City Views Near Dubai Mall,"Dubai, ARE",Dubai,None,7.6,30,25.191098,55.282075
Frank Porter - Silverene Tower B,"Dubai, ARE",Dubai,None,8.1,13,25.074816,55.138538
Luxury 5 star 1 Bed Apartment,"Dubai, ARE",Dubai,None,7.9,17,25.048468,55.207398
HiGuests - Luxury Apartment in the Iconic Park Towers,"Dubai, ARE",Dubai,None,7.6,30,25.209528,55.278514
Citymax Sharjah,"Sharjah, ARE",Sharjah,None,7.2,6103,25.337013,55.400398
Ibis Styles Dragon Mart Dubai,"Dubai, ARE",Dubai,None,7.2,3770,25.17448,55.419968
Two Continents Holiday Homes - Palm View Four Bedroom Apartment,"Dubai, ARE",Dubai,None,7.6,30,25.088477,55.148076
Cozy 1BR at Bay Central 1 Dubai Marina by Deluxe Holiday Homes,"Dubai, ARE",Dubai,None,8.1,13,25.078543,55.137546
Cozy 2BD apartment - Work in Style,"Dubai, ARE",Dubai,None,8.9,7,25.115034,55.247604
Boutique Living - Marina Wharf,"Dubai, ARE",Dubai,None,8.1,13,25.072302,55.1324
Sea Views Studio Apartment & 5 stars Dubai's hotel access entertainments - Marina Dubai,"Dubai, ARE",Dubai,None,8.9,7,25.079149,55.142071
Copthorne Hotel Sharjah,"Sharjah, ARE",Sharjah,None,7.2,3123,25.334926,55.375737
Dream Inn Apartments - Marina Quays,"Dubai, ARE",Dubai,None,7.5,40,25.076511,55.136164
LADIES ONLY-AnaRuby Backpackers - Metro Station Mashreq,"Dubai, ARE",Dubai,None,7.4,51,25.114669,55.19235
Belle Vue Building,"Dubai, ARE",Dubai,None,7.2,451,25.094613,55.175747
Marbella Holiday Homes,"Dubai, ARE",Dubai,None,7.2,464,25.215217,55.325751
Big Studio in Rimal at The Beach JBR,"Dubai, ARE",Dubai,None,7.8,19,25.07648,55.133521
Omega Hotel Dubai,"Dubai, ARE",Dubai,None,7.2,949,25.254919,55.291902
"Marco Polo - Stylish and Spacious 2 BR with Marina, City Views","Dubai, ARE",Dubai,None,7.7,22,25.087942,55.1475
Studio with a view in the top location,"Dubai, ARE",Dubai,None,7.9,16,25.075375,55.138502
Sky Inn Hostel For Males,"Dubai, ARE",Dubai,None,7.3,92,25.260593,55.3037
AWS Homes - Prime 1BR Apartment Close To The Beach,"Dubai, ARE",Dubai,None,7.8,19,25.078483,55.137462
Mira Holiday Homes - Newly Furnished 1 bedroom in Sobha Hartland,"Dubai, ARE",Dubai,None,8,14,25.179875,55.305347
Palm Jumeirah Beachfront Private Villa with swimming pool,"Dubai, ARE",Dubai,None,8,14,25.132067,55.136865
Signature Hotel Al Barsha,"Dubai, ARE",Dubai,None,7.2,2075,25.117155,55.194994
A Place Like A Home In Marina,"Dubai, ARE",Dubai,None,7.8,19,25.087694,55.148798
Staycae Holiday Homes - Prive,"Dubai, ARE",Dubai,None,7.2,457,25.184386,55.275553
City Stay Prime Hotel Apartments - Al Barsha,"Dubai, ARE",Dubai,None,7.2,972,25.11476,55.20329
Versailles by Raviz Hotel,"Dubai, ARE",Dubai,None,7.2,553,25.263128,55.320604
Cozy Studio Boulevard Central 2 Downtown,"Dubai, ARE",Dubai,None,7.5,35,25.191547,55.273405
Downtown Ultra Luxury - Studio Suite - 5 star Hotel Facilities- 15 min walk to Dubai Fountain,"Dubai, ARE",Dubai,None,7.8,18,25.18431,55.275516
Gardenia Al Fattan Marine Suites - Luxury Apartments in JBR with Full Sea View and only 2m walk to Beach,"Dubai, ARE",Dubai,None,8.2,11,25.079623,55.135931
Hill Top Holiday Homes Rental,"Dubai, ARE",Dubai,None,8.6,8,25.086704,55.381753
Beach side Private Room for Travelers,"Sharjah, ARE",Sharjah,None,7.6,27,25.308341,55.369683
The Address Dubai Marina Residence,"Dubai, ARE",Dubai,None,7.8,18,25.077413,55.140192
Dubai Downtown French Chic Apartment,"Dubai, ARE",Dubai,None,8.2,11,25.191217,55.281832
Beautiful 1 bedroom by the JBR beach! Bahar,"Dubai, ARE",Dubai,None,8.6,8,25.078314,55.135781
Burj Al Arab View Studio,"Dubai, ARE",Dubai,None,7.8,18,25.116968,55.136441
Luxury Beach Front 1BR,"Dubai, ARE",Dubai,None,8.6,8,25.099468,55.141503
Five Palm - Residential 2 BR Suite with Private Beach -Livbnb,"Dubai, ARE",Dubai,None,8.6,8,25.104454,55.148241
NEW DREAM PLAZA HOTEL APARTMENT L.L.C,"Dubai, ARE",Dubai,None,7.2,276,25.276459,55.318193
Luxury 2BR Apartment in Downtown by Bhavan Vacation Homes,"Dubai, ARE",Dubai,None,8.6,8,25.197676,55.271217
Sharjah Palace Hotel,"Sharjah, ARE",Sharjah,None,7.2,321,25.305865,55.365528
Seaview haven JBR - Sleeps 4,"Dubai, ARE",Dubai,None,8.6,8,25.082012,55.140256
*Private Beach* Best Ocean View Emaar BeachFront,"Dubai, ARE",Dubai,None,8.6,8,25.099234,55.140895
Downtown Views Apartment - Burj Khalifa & Fountain View,"Dubai, ARE",Dubai,None,10,4,25.2025,55.280897
LUXFolio Retreats - Astonishing 3BHk Apartment,"Dubai, ARE",Dubai,None,10,4,25.086311,55.148952
The Palm Jumeirah I Atlantis Hotel View I Luxury Family Apartment,"Dubai, ARE",Dubai,None,8.1,12,25.114809,55.136238
Dream Inn Apartments - Burj Residence with Fountain View,"Dubai, ARE",Dubai,None,8.1,12,25.193003,55.273218
Silkhaus new 2BDR in The Collective Dubai Hills,"Dubai, ARE",Dubai,None,8.3,10,25.094628,55.245259
bnbmehomes - Great Value over looking Canal in Professional Apt - 303,"Dubai, ARE",Dubai,None,7.5,33,25.181145,55.262338
Durrani Homes - Lavish 3BR Besides Burj Khalifa and Fountain view,"Dubai, ARE",Dubai,None,8.3,10,25.193827,55.272544
"RH - Beautiful canal view, Sleek & spacious Studio, central location","Dubai, ARE",Dubai,None,8.2,11,25.090971,55.169961
"Bespoke Holiday Homes - Palm Jumeirah- 2 Bedroom with Gym, Beach & Pool Access, Fairmont South","Dubai, ARE",Dubai,None,8.3,10,25.109255,55.142354
Daniels 3BR with M Address JBR Dubai Eye View,"Dubai, ARE",Dubai,None,8.1,12,25.072846,55.126277
"Address Dubai Marina Mall Suites ""Full Marina Views & Balcony ""","Dubai, ARE",Dubai,None,8.1,12,25.077166,55.140533
Elite Royal Apartment - Burj Residences T7 - President,"Dubai, ARE",Dubai,None,7.7,21,25.19283,55.274804
Florida Square Hotel (Previously known Flora Square Hotel),"Dubai, ARE",Dubai,None,7.2,218,25.269959,55.303752
LUXFolio Retreats - Sweeping Marina View,"Dubai, ARE",Dubai,None,8.1,12,25.074942,55.139576
Sunkissed holiday homes Stylish seaside JBR 4BR apt near mall & tram,"Dubai, ARE",Dubai,None,8.2,11,25.081176,55.136458
STAY BY LATINEM Luxury 1BR Holiday Home CVR A3001 near Burj Khalifa,"Dubai, ARE",Dubai,None,8.3,10,25.179497,55.30436
"RH- A Stylish Home Away from Home, Spacious 02 BR near Dubai Mall","Dubai, ARE",Dubai,None,8.2,11,25.194202,55.284295
Bahwan Tower Luxury Living 2BR Apartment in Downtown,"Dubai, ARE",Dubai,None,10,4,25.190443,55.270943
BRAND-NEW 1 Bedroom with full Marina View,"Dubai, ARE",Dubai,None,10,4,25.072313,55.136124
Cozy Central Apt with Parking and Skyline View,"Dubai, ARE",Dubai,None,10,4,25.213658,55.318943
