BranchType_EN,Channel/ar,Channel/en,Latitude,Longitude,OpeningHours,Services/0/ar,Services/0/en,Title_Name_EN,Address_EN,BranchLocationCity/ar,BranchLocationCity/en,Phone,Region/ar,Region/en,_id,Title_Name_AR,Address_AR,BranchType_AR,Services/1/ar,Services/1/en,Services/2/ar,Services/2/en,Services/3/ar,Services/3/en,Services/4/ar,Services/4/en
Regular,Branch Office,Branch Office,25.352047,49.610818,9:30 - 4:30,المصرفية الماسية,Diamond Banking,333. AL Shahabiyah,"King Abdullah Rd , AL-AHSSA",الاحساء,AL-AHSSA,013-589-3171,الشرقية,Eastern,1666,فرع الشهابية,"طريق الملك عبد الله - شارع الستين , الاحساء",عادي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Regular,Branch Office,Branch Office,21.5134667,39.1827,9:30 - 4:30,المصرفية الذهبية,Golden Banking,102. Al Sharafiyah,"Al-Madinah Al Tal’e Road , JEDDAH",جدة,JEDDAH,012-653-4008,الغربية,Western,1521,فرع الشرفية,"طريق المدينة الطالع , جدة",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,21.2548,40.43534,9:30 - 4:30,,,150. Al Shuhada,"Hassan Ibn Thabit St. , AL-TAIF",الطائف,AL-TAIF,012-746-2112,الغربية,Western,1552,فرع حي الشهداء,"شارع حسان بن ثابت , الطائف",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,20.473706,45.575449,9:30 - 4:30,,,517. Al Solayel Br.,"King Abdulaziz Rd , AL-SULAYYIL",السليل,AL-SULAYYIL,011-782-1374,الوسطى,Central,1702,فرع السليل,"طريق الملك عبد العزيز , السليل",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.598083,46.687113,9:30 - 4:30,المصرفية الذهبية,Golden Banking,216. Al Swaidi,"Al Swaidi Al Am St. , Al-RIYADH",الرياض,Al-RIYADH,011-425-2082,الوسطى,Central,1590,فرع السويدي,"شارع السويدي العام , الرياض",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,26.269221,50.196491,9:30 - 4:30,المصرفية الذهبية,Golden Banking,311. Al Thoqbah,"Makkah Al Mukarramah St. , AL-THUQBAH",الثقبة,AL-THUQBAH,013-894-4000,الشرقية,Eastern,1645,فرع الثقبة,"شارع مكة المكرمة , الثقبة",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,26.38613,50.09582,9:30 - 4:30,الخدمات المصرفية للسيدات,Ladies Banking Services,348. Al Waha,"Prince Nayef Bin Abdulaziz Rd , DAMMAM",الدمام,DAMMAM,013-815-5467,الشرقية,Eastern,1677,فرع الواحة,"طريق الأمير نايف بن عبدالعزيز , الدمام",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.74552778,46.72416667,9:30 - 4:30,,,259. Al Waha,"Othman Ibn Affan Rd , Al-RIYADH",الرياض,Al-RIYADH,011-470-9242,الوسطى,Central,8460,فرع الواحة,"طريق عثمان بن عفان , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,26.3062055,44.8258888,9:30 - 4:30,المصرفية الذهبية,Golden Banking,619. ALZulfi,"King Fahd Rd , AL-ZILFI",الزلفي,AL-ZILFI,016-422-1024,القصيم,Qassim,1723,فرع الزلفي,"طريق الملك فهد , الزلفي",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.740818,46.75835,9:30 - 4:30,المصرفية الماسية,Diamond Banking,223. Al- Rawdah,"Al Hasan Ibn Ali St. , Al-RIYADH",الرياض,Al-RIYADH,011-254-4118,الوسطى,Central,1596,فرع الروضة,"شارع الحسن بن علي , الرياض",عادي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,خدمات الاستثمار,Investment Services,,
Islamic,Branch Office,Branch Office,22.30155809,46.73116343,9:30 - 4:30,,,215. Al-Aflaj,"King Abdulaziz Rd , AL-AFLAJ",الأفلاج,AL-AFLAJ,011-682-1800,الوسطى,Central,1589,فرع الأفلاج ,"طريق الملك عبد العزيز , الأفلاج",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,26.51135,45.34919,9:30 - 4:30,,,609. Al-Artawiah,"Public St. , AL-ARTAWIYAH",الارطاوية,AL-ARTAWIYAH,016-436-1087,القصيم,Qassim,1716,فرع الارطاوية,"الشارع العام , الارطاوية",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,21.350122,39.904446,9:30 - 4:30,المصرفية الماسية,Diamond Banking,178. Al-Awali neighborhood,"Ibrahim Al Juffali St. , MAKKAH AL-MUKARRAMAH",مكة المكرمة,MAKKAH AL-MUKARRAMAH,012-523-5883,الغربية,Western,1565,فرع حي العوالي,"شارع إبراهيم الجفالي , مكة المكرمة",إسلامي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Islamic,Branch Office,Branch Office,20.013301,41.467349,9:30 - 4:30,المصرفية الذهبية,Golden Banking,514. Al-Baha,"King Fahd Rd , AL-BAHA",الباحة,AL-BAHA,017-725-5555,الجنوبية,Southern,1699,فرع الباحة,"طريق الملك فهد , الباحة",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.6408891,46.7202534,9:30 - 4:30,,,203. Al-Batha,"Omar Al-Mukhtar St. , Al-RIYADH",الرياض,Al-RIYADH,011-403-2341,الوسطى,Central,1581,فرع البطحاء,"شارع عمر المختار , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,24.49989199,44.38102786,9:30 - 4:30,المصرفية الذهبية,Golden Banking,605. Al-Dawadmi,"King Abdulaziz Rd , AL-DAWADMI",الدوادمي,AL-DAWADMI,011-642-1413,الوسطى,Central,1712,فرع الدوادمي ,"طريق الملك عبد العزيز , الدوادمي",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.75205419,46.5754088,9:30 - 4:30,,,271. Al-Deriyah,"King Abdulaziz Rd , Al-RIYADH",الرياض,Al-RIYADH,011-486-3835,الوسطى,Central,10042,فرع الدرعية,"طريق الملك عبد العزيز , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,17.524746,44.200474,9:30 - 4:30,المصرفية الذهبية,Golden Banking,511. Faisaliyah Najran,"King Abdulaziz Rd , NAJRAN",نجران,NAJRAN,017-522-2019,الجنوبية,Southern,1697,فرع الفيصلية,"طريق الملك عبد العزيز , نجران",إسلامي,الخدمات المصرفية للشركات,Corporate Banking Services,,,,,,
Regular,Branch Office,Branch Office,21.745026,39.190296,9:30 - 4:30,,,110. Al-Hamdaniyah,"Al-Hamdaniyah St. , JEDDAH",جدة,JEDDAH,011-661-1065,الغربية,Western,9013,فرع الحمدانية,"شارع الحمدانية الرئيسي , جدة",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,21.54773,39.23706,9:30 - 4:30,المصرفية الذهبية,Golden Banking,184. Al-Haramain Road,"Al-Haramaian Rd , JEDDAH",جدة,JEDDAH,012-617-7346,الغربية,Western,1571,فرع طريق الحرمين,"الطريق الدائري السريع (طريق الحرمين) , جدة",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,28.4159173,45.96994231,9:30 - 4:30,المصرفية الذهبية,Golden Banking,621. Al-Khaldiah,"King Abdulaziz Rd , HAFIR AL-BATEN",حفر الباطن,HAFIR AL-BATEN,013-724-6218<br/>013-722-4765,الشرقية,Eastern,1725,فرع الخالدية,"طريق الملك عبد العزيز , حفر الباطن",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,
Islamic,Branch Office,Branch Office,24.153751,47.302176,9:30 - 4:30,المصرفية الذهبية,Golden Banking,205. Al-Kharj,"King Faisal Rd , ",الخرج,,011-544-8847,الوسطى,Central,1583,فرع الخرج,"طريق الملك فيصل , الخرج",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.63725,46.6912,9:30 - 4:30,المصرفية الذهبية,Golden Banking,229. Al-Khazzan,"Al Imam Faisal Ibn Turki Ibn Abdullah St. , Al-RIYADH",الرياض,Al-RIYADH,011-286-1216,الوسطى,Central,1600,فرع شارع الخزان,"شارع الإمام فيصل بن تركي بن عبدالله , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,28.40457,36.56569,9:30 - 4:30,المصرفية الذهبية,Golden Banking,410. Al-Mahrajan Branch,"Jeddah St. , TABUK",تبوك,TABUK,014-422-2666,الشمالية,Northern,1860,فرع المهرجان,"شارع جدة , تبوك",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,24.67123,46.732462,9:30 - 4:30,المصرفية الذهبية,Golden Banking,202. Al-Malaz Branch (Jareer),"Jarir St. - Al-Malaz , Al-RIYADH",الرياض,Al-RIYADH,011-474-7100,الوسطى,Central,1580,فرع الملز شارع جرير,"شارع جرير , الرياض",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.600548,46.749626,9:30 - 4:30,المصرفية الذهبية,Golden Banking,264. Al-Mansorah District,"Southern Ring Rd , Al-RIYADH",الرياض,Al-RIYADH,011-213-8887,الوسطى,Central,1623,فرع المنصورة,"طريق الدائري الجنوبي , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,26.437292,50.128921,9:30 - 4:30,الخدمات المصرفية للسيدات,Ladies Banking Services,351. Al-Mazzroaih,"King Saud St. , DAMMAM",الدمام,DAMMAM,013-834-7240,الشرقية,Eastern,1680,فرع المزروعية,"شارع الملك  سعود , الدمام",عادي,الخدمات المصرفية للشركات,Corporate Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.64913,46.71537,9:30 - 4:30,المصرفية الذهبية,Golden Banking,218. Al-Morabba,"King Abdul Aziz Rd , Al-RIYADH",الرياض,Al-RIYADH,011-403-0111,الوسطى,Central,1592,فرع المربع,"شارع الملك عبد العزيز , الرياض",عادي,الخدمات المصرفية للشركات,Corporate Banking Services,,,,,,
Regular,Branch Office,Branch Office,28.424299,36.575441,9:30 - 4:30,المصرفية الذهبية,Golden Banking,421. Al-Morooj branch,"Abi Bakr As Siddiq St. , TABUK",تبوك,TABUK,014-424-3102,الشمالية,Northern,1865,فرع المروج,"شارع أبو بكر الصديق , تبوك",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,21.53931,39.16841,9:30 - 4:30,المصرفية الذهبية,Golden Banking,137. Al-Mosadiah,"Arfat St. , JEDDAH",جدة,JEDDAH,012-661-2440,الغربية,Western,1544,فرع المساعدية,"شارع عرفات , جدة",عادي,الخدمات المصرفية للشركات,Corporate Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.81332,46.755581,9:30 - 4:30,,,237. Al-Munsiyah,"Shaikh Hassan Ibn Hussain Ibn Ali Road - Al-Munsiyah district , Al-RIYADH",الرياض,Al-RIYADH,,الوسطى,Central,24993,فرع المونسية,"طريق الشيخ حسن بن حسين بن علي - حي المونسية , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,24.76696,46.7095,9:30 - 4:30,المصرفية الماسية,Diamond Banking,235. Al-Nozha,"Al Imam Saud Bin Abdulaziz Bin Mohammed Rd , Al-RIYADH",الرياض,Al-RIYADH,011-453-7387,الوسطى,Central,1603,فرع النزهة,"طريق الإمام سعود بن عبدالعزيز بن محمد , الرياض",عادي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Regular,Branch Office,Branch Office,24.684135,46.689671,9:30 - 4:30,المصرفية الذهبية,Golden Banking,209. Al-Olaya Branch,"Olaya St. , Al-RIYADH",الرياض,Al-RIYADH,011-465-5332,الوسطى,Central,1586,فرع العليا,"شارع العليا العام , الرياض",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.76581989,46.75503354,9:30 - 4:30,المصرفية الذهبية,Golden Banking,239. Al-Quds,"King Abdullah Rd , Al-RIYADH",الرياض,Al-RIYADH,011-249-1152,الوسطى,Central,1607,فرع القدس,"طريق الملك عبد الله , الرياض",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,21.40559,39.78801,9:30 - 4:30,المصرفية الذهبية,Golden Banking,187. Al-Rasifa,"Al Rasaifah St. , MAKKAH AL-MUKARRAMAH",مكة المكرمة,MAKKAH AL-MUKARRAMAH,012-530-3105,الغربية,Western,1574,فرع حي الرصيفة,"شارع عبدالله عريف , مكة المكرمة",إسلامي,خدمات الاستثمار,Investment Services,الخدمات المصرفية للشركات,Corporate Banking Services,,,,
Islamic,Branch Office,Branch Office,24.68294536,46.78936801,9:30 - 4:30,المصرفية الذهبية,Golden Banking,230. Al-Rawabi,"Prince Saad Ibn Abdulrahman Al Awal Rd , Al-RIYADH",الرياض,Al-RIYADH,011-244-7580,الوسطى,Central,1601,فرع الروابي,"طريق الأمير سعد بن عبدالرحمن الأول , الرياض",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,
Islamic,Branch Office,Branch Office,24.7083269,46.77344717,9:30 - 4:30,المصرفية الذهبية,Golden Banking,236. Al-Rayann,"Unayzah Street , Al-RIYADH",الرياض,Al-RIYADH,011-493-0766,الوسطى,Central,1604,فرع الريان,"شارع عنيزة , الرياض",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,الخدمات المصرفية للشركات,Corporate Banking Services,,,,
Islamic,Branch Office,Branch Office,21.47098,39.94235,9:30 - 4:30,المصرفية الذهبية,Golden Banking,189. Al-Sharae,"Al Muhandes Umar Qadi St. , MAKKAH AL-MUKARRAMAH",مكة المكرمة,MAKKAH AL-MUKARRAMAH,012-5248762,الغربية,Western,1576,فرع الشرائع,"شارع المهندس عمر قاضي , مكة المكرمة",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.56328,46.68332,9:30 - 4:30,المصرفية الماسية,Diamond Banking,228. Al-Shefa,"Dirab Rd , Al-RIYADH",الرياض,Al-RIYADH,011-422-3124,الوسطى,Central,1599,فرع حي الشفا,"طريق ديراب , الرياض",إسلامي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Islamic,Branch Office,Branch Office,18.306361,42.730997,9:30 - 4:30,,,518. Al-Souq Al-Tejary,"King Khalid Rd cross King Fahd Rd , KHAMIS MUSHAYT",خميس مشيط,KHAMIS MUSHAYT,017-223-6209,الجنوبية,Southern,1703,فرع السوق التجاري,"تقاطع طريق الملك خالد مع طريق الملك فهد , خميس مشيط",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.710553,46.692746,9:30 - 4:30,المصرفية الذهبية,Golden Banking,207. Al-Sulemaniyah,"Prince Mamduh Bin Abdulaziz St. , Al-RIYADH",الرياض,Al-RIYADH,011-465-2424,الوسطى,Central,1585,فرع السليمانية,"شارع الأمير ممدوح بن عبد العزيز , الرياض",عادي,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,,,
Regular,Branch Office,Branch Office,24.698133,46.668444,9:30 - 4:30,المصرفية الذهبية,Golden Banking,212. Al-Takhassosi,"Al Takhassosi Road , Al-RIYADH",الرياض,Al-RIYADH,011-488-0484,الوسطى,Central,1588,فرع التخصصي,"شارع التخصصي , الرياض",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,26.605509,37.925577,9:30 - 4:30,,,414. Al-Ula,"King Fahd Rd , AL-ULA",العلا,AL-ULA,014-884-1316,الشمالية,Northern,1863,فرع العلا,"طريق الملك فهد , العلا",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.733652,46.67883,9:30 - 4:30,المصرفية الذهبية,Golden Banking,234. Al-Worod,"King Abdullah Rd , Al-RIYADH",الرياض,Al-RIYADH,011-456-2779,الوسطى,Central,1602,فرع حي الورود,"طريق الملك عبد الله , الرياض",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,خدمات الاستثمار,Investment Services,,,,
Regular,Branch Office,Branch Office,24.80433333,46.69394444,9:30 - 4:30,,,250. AlNada,"AlNada dist. Othman bin Affan Road , Al-RIYADH",الرياض,Al-RIYADH,011-292-2864<br/>011-292-2887,الوسطى,Central,8854,فرع الندى,"حي الندى - طريق عثمان بن عفان , الرياض",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,29.080041,46.636176,9:30 - 4:30,,,604. AlRoqaiy,"Kuwait Rd , AL-RUQI",الرقعي,AL-RUQI,013-729-0280,الشرقية,Eastern,1711,فرع الرقعي ,"طريق الكويت الدولي , الرقعي",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.43775,39.66080556,9:30 - 4:30,المصرفية الذهبية,Golden Banking,114 - Alawali,"King Abdullah St. , AL-MADINAH AL-MUNAWWARAH",المدينة المنورة,AL-MADINAH AL-MUNAWWARAH,014-831-4898,الغربية,Western,8552,فرع العوالي,"طريق الملك عبدالله , المدينة المنورة",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,21.48615,39.20374,9:30 - 4:30,المصرفية الذهبية,Golden Banking,103. Alkndrh,"Old Makkah Road , JEDDAH",جدة,JEDDAH,012-631-5088,الغربية,Western,1522,فرع الكندرة,"طريق مكة القديم , جدة",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,24.76954,46.68995,9:30 - 4:30,الخدمات المصرفية للشركات,Corporate Banking Services,258. Almasif,"Abi Bakr As Siddiq Rd , Al-RIYADH",الرياض,Al-RIYADH,011-494-2454,الوسطى,Central,1618,فرع المصيف,"طريق أبي بكر الصديق , الرياض",عادي,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,,,
Regular,Branch Office,Branch Office,26.344516,50.138103,9:30 - 4:30,,,335. Alrabwah,"Ibn Batutah St. , AL-KHOBAR",الخبر,AL-KHOBAR,013-868-8174,الشرقية,Eastern,9008,فرع الربوة,"شارع ابن بطوطة , الخبر",عادي,,,,,,,,
Regular,Branch Office,Branch Office,25.93995,49.66754,9:30 - 4:30,المصرفية الذهبية,Golden Banking,319. Aramco,"Aramco , BGAIG",بقيق,BGAIG,013-566-1013,الشرقية,Eastern,1653,فرع مجمع ارامكو,"مجمع ارامكو , بقيق",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,30.967667,41.014969,9:30 - 4:30,المصرفية الماسية,Diamond Banking,402. Arar Branch,"King Abdulaziz Rd , ARAR",عرعر,ARAR,014-664-3912,الشمالية,Northern,1852,فرع عرعر,"طريق الملك عبد العزيز , عرعر",إسلامي,المصرفية الذهبية,Golden Banking,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,
Islamic,Branch Office,Branch Office,24.479013,39.623484,9:30 - 4:30,المصرفية الذهبية,Golden Banking,107. Auhud Area,"Airport Road , AL-MADINAH AL-MUNAWWARAH",المدينة المنورة,AL-MADINAH AL-MUNAWWARAH,014-838-8612<br/>012-616-8895,الغربية,Western,1526,فرع احد,"طريق المطار , المدينة المنورة",إسلامي,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,,,
Islamic,Branch Office,Branch Office,23.78182,38.79193,9:30 - 4:30,,,145. Bader,"King Faisal Rd , BADER",بدر,BADER,013-332-0848,الغربية,Western,1548,فرع بدر,"طريق الملك فيصل , بدر",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,19.86301,41.56289,9:30 - 4:30,المصرفية الذهبية,Golden Banking,515. Baljorashy,"King Saud Rd , BALJURASHI",بلجرشي,BALJURASHI,017-722-1010,الجنوبية,Southern,1700,فرع بلجرشي ,"طريق الملك سعود , بلجرشي",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,21.27571,40.40814,9:30 - 4:30,المصرفية الذهبية,Golden Banking,106. Barhat Al Gazzaz,"Al-Aziziyah St. - Central Dist. , AL-TAIF",الطائف,AL-TAIF,012-733-1619,الغربية,Western,1525,فرع برحة قزاز,"شارع العزيزية - المنطة المركزية , الطائف",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,27.527154,41.704638,9:30 - 4:30,المصرفية الذهبية,Golden Banking,610. Barzain Hail Branch,"Ghattat St. - Barzain Market , HAIL",حائل,HAIL,016-532-6252,الشمالية,Northern,1866,فرع برزان حائل,"شارع غطاط , حائل",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,20.00032,42.60576,9:30 - 4:30,,,503. Bishah,"Assir St. , BISHAH",بيشة,BISHAH,017-622-4421,الجنوبية,Southern,1689,فرع بيشة ,"شارع عسير , بيشة",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,26.33571,43.967579,9:30 - 4:30,المصرفية الذهبية,Golden Banking,611. Buraidah,"King Abdulaziz Rd , BURAIDAH",بريدة,BURAIDAH,016-325-0400,القصيم,Qassim,1717,فرع بريدة الرئسيي,"طريق الملك عبد العزيز , بريدة",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,الخدمات المصرفية للشركات,Corporate Banking Services,,,,
Regular,Branch Office,Branch Office,21.50715,39.1733,9:30 - 4:30,,,109. Chamber of Commercial - Jeddah,"Al Amanah Rd , JEDDAH",جدة,JEDDAH,012-651-2456,الغربية,Western,1527,فرع الغرفة التجارية الصناعية,"شارع الأمانة , جدة",عادي,,,,,,,,
Regular,Branch Office,Branch Office,26.45567,50.11737,9:30 - 4:30,المصرفية الذهبية,Golden Banking,344. Dammam Corniche,"Khaleej Rd , DAMMAM",الدمام,DAMMAM,013-809-6161,الشرقية,Eastern,1673,فرع كورنيش الدمام,"طريق الخليج , الدمام",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,26.44282,50.10473,9:30 - 4:30,الخدمات المصرفية للشركات,Corporate Banking Services,302. Dammam,"King Saud St. , DAMMAM",الدمام,DAMMAM,013-833-5733/3100,الشرقية,Eastern,1636, فرع الدمام الرئيسي,"تقاطع شارع الملك سعود مع شارع الظهران , الدمام",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,27.359867,35.690436,9:30 - 4:30,,,404. Dheba Branch,"Tabuk Road , DHUBA",ضباء,DHUBA,014-432-1384,الشمالية,Northern,1854,فرع ضباء,"طريق تبوك , ضباء",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.60245,46.12678,9:30 - 4:30,,,219. Dhurma,"Public St. , DHURMA",ضرما,DHURMA,011-522-1679,الوسطى,Central,1593,فرع ضرماء ,"الشارع العام , ضرما",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,29.79921,39.86045,9:30 - 4:30,المصرفية الذهبية,Golden Banking,403. Dowmat Al-Jaundal,"King Abdulaziz Rd , DAWMAT AL JANDAL",دومة الجندل,DAWMAT AL JANDAL,014-622-3959,الشمالية,Northern,1853,فرع دومة الجندل,"طريق الملك عبد العزيز , دومة الجندل",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,24.5969008,46.63707665,9:30 - 4:30,المصرفية الذهبية,Golden Banking,224. Duhrat Al Badeah,"Al Madinah Al Munawwarah Rd , Al-RIYADH",الرياض,Al-RIYADH,011-418-1837,الوسطى,Central,1597,فرع ظهرة البديعة,"طريق المدينة المنورة , الرياض",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,24.690331,46.595732,9:30 - 4:30,,,232. Ergah,"Prince Mashal Ibn Abdulaziz St. , Al-RIYADH",الرياض,Al-RIYADH,011-249-7163,الوسطى,Central,5262,فرع عرقة,"شارع الامير مشعل بن عبد العزيز , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,24.645162,46.738306,9:30 - 4:30,,,204. First Industrial,"Omar Almukhtar St. - 1st Industrial City , Al-RIYADH",الرياض,Al-RIYADH,011-265-2116,الوسطى,Central,1582,فرع الصناعية الأولى,"شارع عمر المختار - الصناعية الأولى , الرياض",عادي,,,,,,,,
Regular,Branch Office,Branch Office,26.4296535,50.1181464,9:30 - 4:30,,,353. First St,"Prince Mohammed Bin Fahd Rd , DAMMAM",الدمام,DAMMAM,013-828-3371,الشرقية,Eastern,15832,فرع الشارع الأول,"طريق الأمير محمد بن فهد , الدمام",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,26.427534,50.072643,9:30 - 4:30,المصرفية الذهبية,Golden Banking,342. Ghaurnaata,"King Khalid St. , DAMMAM",الدمام,DAMMAM,013-815-8941,الشرقية,Eastern,1671,فرع غرناطة,"شارع الملك خالد , الدمام",إسلامي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Islamic,Branch Office,Branch Office,28.436907,45.973064,9:30 - 4:30,خدمات الاستثمار,Investment Services,612. Hafir Al Batten,"King Abdulaziz Rd , HAFIR AL-BATEN",حفر الباطن,HAFIR AL-BATEN,013-722-4765,الشرقية,Eastern,1718,فرع حفر الباطن,"طريق الملك عبد العزيز , حفر الباطن",إسلامي,,,,,,,,
Regular,Branch Office,Branch Office,25.40652,49.4656,9:30 - 4:30,المصرفية الذهبية,Golden Banking,329. Hafouf Industrial,"Hasa Industrial City - Main St. , AL-AHSSA",الاحساء,AL-AHSSA,013-586-1960,الشرقية,Eastern,1662,فرع المدينة الصناعية,"المدينة الصناعية بالأحساء - الشارع الرئيسي , الاحساء",عادي,,,,,,,,
Regular,Branch Office,Branch Office,27.51367,41.69617,9:30 - 4:30,المصرفية الذهبية,Golden Banking,613. Hail Main Branch,"Ibn Khaldun St. , HAIL",حائل,HAIL,016-532-8430,الشمالية,Northern,1867,فرع حائل,"شارع ابن خلدون , حائل",عادي,,,,,,,,
Regular,Branch Office,Branch Office,27.479094,41.729006,9:30 - 4:30,المصرفية الذهبية,Golden Banking,614. Hail industrial branch,"Industrial area – King Abdulaziz Rd , HAIL",حائل,HAIL,016-533-0929<br/>016-531-2190,الشمالية,Northern,1868,فرع حائل الصناعية,"طريق الملك عبد العزيز , حائل",عادي,,,,,,,,
Islamic,Branch Office,Branch Office,29.2972,34.9472,9:30 - 4:30,,,406. Haql Branch,"King Abdulaziz Rd , HAQL",حقل,HAQL,014-453-0828,الشمالية,Northern,1856,فرع حقل,"طريق الملك عبد العزيز , حقل",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,25.594706475852,45.6194823169734,9:30 - 4:30,المصرفية الذهبية,Golden Banking,293. Hawtat Sudair,"King Abdulaziz Rd , Al-RIYADH",الرياض,Al-RIYADH,016-443-1732,الوسطى,Central,1632,حوطة سدير,"طريق الملك عبد العزيز , الرياض",إسلامي,,,,,,,,
Islamic,Branch Office,Branch Office,21.60687,39.12428,9:30 - 4:30,المصرفية الذهبية,Golden Banking,186. Heraa Street,"Hira St. , JEDDAH",جدة,JEDDAH,012-616-8896<br/>012-616-8895,الغربية,Western,1573,فرع شارع حراء,"شارع حراء , جدة",إسلامي,مراكز الأعمال الناشئة,Emerging Enterprises Centers,,,,,,
Regular,Branch Office,Branch Office,26.42631,50.1003,9:30 - 4:30,المصرفية الذهبية,Golden Banking,327. IBN Khaldoon,"King Fahad Rd , DAMMAM",الدمام,DAMMAM,013-841-2065,الشرقية,Eastern,1660,فرع شارع بن خلدون,"طريق الملك فهد , الدمام",عادي,الخدمات المصرفية للسيدات,Ladies Banking Services,,,,,,
Regular,Branch Office,Branch Office,21.4163,39.22649,9:30 - 4:30,,,151. Industrial City,"Industrial City - Al-Masanea St. , JEDDAH",جدة,JEDDAH,012-636-6546,الغربية,Western,1553,المدينة الصناعية,"المدينة الصناعية / شارع المصانع , جدة",عادي,,,,,,,,
